obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
105, 107.2, 550506, 104144, 18963, 39220, 106, 15456, 5037, 365153, 99, 63, NA, 1098585,  X
106, 108.2, 200233, 17417, 259180, 56617, 1861, 107583, 147369, 63550, 7, 2, NA, 853810,  X
107, 109.2, 138158, 109701, 905591, 1096879, 143662, 188971, 59115, 3259, 27, 17, NA, 2645336,  X
108, 110.2, 170036, 101095, 22424, 907784, 2997, 15451, 42595, 457947, 59, 60, NA, 1720329,  X
109, 111.2, 114734, 949723, 47742, 51910, 36070, 30106, 4443, 8500, 20, 76, NA, 1243228,  X
110, 112.2, 2964, 329169, 299372, 487345, 618560, 319536, 31126, 162754, 76, 45, NA, 2250826,  X
111, 113.3, 233978, 411579, 353887, 244014, 957522, 146132, 115137, 98458, 60, 57, NA, 2560707,  X
112, 114.3, 65639, 605351, 105866, 1217116, 512493, 69622, 2497, 239853, 44, 65, NA, 2818437,  X
113, 115.3, 4538, 296937, 168576, 896863, 26228, 850250, 490486, 31518, 33, 74, NA, 2765396,  X
114, 116.3, 820575, 184845, 6300, 74967, 6132, 171520, 210383, 417311, 94, 59, NA, 1892033,  X
115, 117.3, 24284, 219192, 126239, 42992, 855735, 300224, 924922, 87709, 22, 25, NA, 2581297,  X
116, 118.3, 13571, 169457, 724063, 351825, 474, 2773, 815329, 77272, 16, 4, NA, 2154764,  X
117, 119.3, 174505, 154875, 1233920, 106294, 817808, 5908, 6804, 34187, 30, 86, NA, 2534301,  X
118, 120.3, 240817, 1959759, 349, 109848, 200286, 154778, 626555, 222188, 21, 13, NA, 3514580,  X
119, 121.4, 176906, 4958, 171, 274025, 390802, 984618, 3466, 321, 93, 77, NA, 1835267,  X
120, 122.4, 1648357, 8683, 8453, 204284, 40158, 37690, 41986, 87462, 50, 50, NA, 2077073,  X
121, 123.4, 5202, 7708, 657053, 561073, 1815667, 6743, 4549, 3883, 16, 7, NA, 3061878,  X
122, 124.4, 169499, 7292, 127689, 23769, 32163, 188290, 1699, 146668, 12, 47, NA, 697069,  X
123, 125.4, 9336, 2302700, 350, 24269, 293030, 94123, 14879, 334735, 9, 80, NA, 3073422,  X
124, 126.4, 414643, 291764, 245716, 570637, 21097, 105576, 2024, 1596, 74, 67, NA, 1653053,  X
125, 127.4, 50210, 26773, 81182, 129860, 161652, 274615, 105694, 902493, 33, 21, NA, 1732479,  X
126, 128.4, 15694, 257535, 30336, 1323481, 2852766, 4474, 21514, 218497, 74, 61, NA, 4724297,  X
127, 129.5, 27488, 66363, 369649, 5029, 283707, 41849, 254258, 378386, 23, 21, NA, 1426729,  X
