obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
79, 81.2, 264234, 8327, 34318, 456, 70457, 369713, 48650, 344947, 1, 83, NA, 1141102,  a*
80, 82.2, 62863, 845034, 224258, 30693, 28262, 653837, 92769, 38085, 24, 7, NA, 1975801,  a*
81, 83.2, 1808, 222128, 768479, 20263, 7322, 1110773, 151767, 1580363, 15, 86, NA, 3862903,  a*
82, 84.2, 180805, 222979, 495, 11732, 209708, 389615, 753479, 57141, 45, 2, NA, 1825954,  a*
83, 85.2, 876113, 636673, 426370, 18747, 78573, 28822, 184286, 488, 91, 5, NA, 2250072,  a*
84, 86.2, 256964, 116907, 2481908, 34611, 21041, 276757, 72430, 3412, 97, 93, NA, 3264030,  a*
85, 87.2, 117638, 170378, 15239, 76538, 480821, 482, 285148, 410039, 69, 64, NA, 1556283,  a*
86, 88.3, 228704, 778206, 48707, 369911, 780, 148177, 837607, 503241, 20, 61, NA, 2915333,  a*
87, 89.3, 74044, 26939, 2246, 12354, 48428, 9838, 678, 160256, 55, 34, NA, 334783,  a*
88, 90.3, 1692, 2534412, 893710, 155272, 20323, 76503, 152855, 1398522, 51, 75, NA, 5233289,  a*
89, 91.3, 86708, 250179, 87546, 325929, 310157, 43428, 199772, 464203, 65, 71, NA, 1767922,  a*
90, 92.3, 112987, 126788, 254053, 44704, 18594, 255942, 83012, 144, 49, 17, NA, 896224,  a*
91, 93.3, 33985, 239511, 160071, 705954, 612156, 22465, 337236, 128508, 16, 41, NA, 2239886,  a*
92, 94.3, 363, 79390, 874805, 11308, 95829, 916822, 96280, 28352, 22, 72, NA, 2103149,  a*
93, 95.3, 687029, 13061, 42678, 65696, 6301, 219591, 134388, 56740, 9, 97, NA, 1225484,  a*
94, 96.4, 302947, 116988, 392710, 1970, 56413, 505618, 1098876, 114331, 33, 77, NA, 2589853,  a*
95, 97.4, 190379, 76293, 1053883, 1140674, 85403, 37646, 338130, 31, 66, 33, NA, 2922439,  a*
96, 98.4, 4059, 4423531, 1492, 272311, 83165, 390202, 41369, 428998, 58, 13, NA, 5645127,  a*
97, 99.4, 561259, 44311, 12041, 129447, 45419, 269608, 143952, 155556, 89, 13, NA, 1361593,  a*
98, 100.4, 159429, 22338, 230, 83715, 896, 24559, 45521, 1050883, 12, 44, NA, 1387571,  a*
99, 101.4, 71141, 44787, 29641, 40596, 42021, 1074185, 173849, 1356, 14, 31, NA, 1477576,  a*
100, 102.4, 738799, 730200, 186067, 1316252, 462928, 61312, 2861, 463127, 77, 32, NA, 3961546,  a*
101, 103.4, 174712, 534013, 16222, 16221, 157091, 75102, 144883, 504022, 68, 96, NA, 1622266,  a*
102, 104.4, 330906, 26195, 83662, 20493, 570846, 670498, 185378, 6609, 30, 33, NA, 1894587,  a*
103, 105.4, 17, 410958, 86099, 213, 3944, 1487192, 114127, 54, 4, 38, NA, 2102604,  a*
104, 106.4, 56509, 12089, 47771, 128375, 8088, 8931, 2948053, 337772, 81, 18, NA, 3547588,  a*
105, 107.4, 24034, 45344, 169458, 215775, 7595, 1024569, 74263, 16578, 62, 85, NA, 1577616,  a*
106, 108.4, 424429, 112080, 578230, 236228, 138817, 353511, 325638, 829992, 97, 100, NA, 2998925,  a*
107, 109.4, 8842, 60748, 80894, 355191, 275672, 554637, 339440, 212428, 74, 96, NA, 1887852,  a*
108, 110.4, 481697, 101449, 10172, 197082, 76826, 21814, 962244, 29653, 92, 64, NA, 1880937,  a*
109, 111.5, 1881066, 395, 144993, 387509, 196159, 8139, 1004835, 41856, 23, 27, NA, 3664952,  a*
110, 112.5, 212430, 633728, 116, 491380, 2622, 62414, 3201, 19081, 26, 49, NA, 1424972,  a*
111, 113.5, 1820, 146224, 4735, 581571, 91572, 33217, 4952, 12802, 56, 51, NA, 876893,  a*
112, 114.5, 507229, 1180, 698944, 58454, 469593, 361882, 111533, 183175, 15, 28, NA, 2391990,  a*
113, 115.5, 65833, 183019, 460063, 20, 433707, 95287, 10490, 187821, 65, 5, NA, 1436240,  a*
114, 116.5, 2332, 42810, 129749, 387763, 42636, 108216, 280408, 66707, 74, 31, NA, 1060621,  a*
115, 117.5, 73, 13374, 634, 1995257, 164495, 152, 3212, 23910, 61, 67, NA, 2201107,  a*
116, 118.5, 288559, 17, 72334, 301892, 6737, 35433, 220409, 180606, 8, 65, NA, 1105987,  a*
117, 119.5, 632218, 1344, 824969, 1123218, 879331, 739, 59431, 154669, 35, 12, NA, 3675919,  a*
118, 120.5, 117408, 7737, 969463, 63373, 735944, 473954, 370940, 1755142, 24, 30, NA, 4493961,  a*
119, 121.5, 54459, 104643, 340401, 311, 473282, 88319, 30127, 931, 85, 49, NA, 1092473,  a*
120, 122.5, 363699, 446821, 104784, 290592, 123637, 381907, 117346, 10013, 54, 43, NA, 1838799,  a*
121, 123.5, 27187, 7932, 90838, 1330326, 108425, 111728, 338830, 23260, 25, 95, NA, 2038526,  a*
122, 124.5, 158290, 1130735, 13, 84978, 157, 43934, 78080, 181, 79, 41, NA, 1496368,  a*
123, 125.5, 61226, 13600, 14045, 601865, 34864, 965697, 179071, 237616, 42, 49, NA, 2107984,  a*
124, 126.6, 53666, 99538, 379158, 92050, 19897, 54074, 15549, 697719, 33, 71, NA, 1411651,  a*
125, 127.6, 8274, 120573, 86374, 373018, 53457, 0, 148085, 59630, 22, 24, NA, 849411,  a*
126, 128.6, 86, 2607534, 222282, 504475, 14650, 489658, 21446, 16868, 76, 6, NA, 3876999,  a*
127, 129.6, 22671, 13384, 6584, 613827, 222944, 110453, 320002, 144662, 84, 34, NA, 1454527,  a*
128, 130.6, 220650, 241455, 20277, 33831, 13907, 12549, 479998, 557395, 50, 51, NA, 1580062,  a*
129, 131.6, 5932, 1479601, 472201, 42729, 1387877, 651581, 385196, 920202, 28, 51, NA, 5345319,  a*
130, 132.6, 76811, 759825, 240172, 511973, 7570, 8921, 658840, 196031, 28, 32, NA, 2460143,  a*
131, 133.6, 531132, 10399, 606359, 10711, 1249246, 643437, 593654, 212228, 48, 63, NA, 3857166,  a*
132, 134.6, 748056, 115148, 219401, 92272, 271, 60483, 420625, 118985, 93, 45, NA, 1775241,  a*
133, 135.6, 174038, 125702, 54272, 183572, 496971, 256537, 100062, 33740, 2, 47, NA, 1424894,  a*
134, 136.6, 4195, 247557, 728027, 79546, 197002, 69509, 185691, 7, 23, 13, NA, 1511534,  a*
135, 137.6, 13866, 18231, 20602, 355219, 310733, 234442, 591941, 247934, 92, 4, NA, 1792968,  a*
136, 138.6, 176370, 10762, 1991, 1156270, 1304752, 364953, 258081, 1010981, 18, 43, NA, 4284160,  a*
137, 139.7, 394644, 34031, 43917, 39345, 41341, 369, 82035, 410331, 70, 65, NA, 1046013,  a*
138, 140.7, 250329, 721, 150762, 291418, 21334, 267197, 98550, 939975, 59, 63, NA, 2020286,  a*
139, 141.7, 91827, 29630, 303352, 226642, 384953, 320096, 185152, 814, 66, 74, NA, 1542466,  a*
140, 142.7, 323, 223231, 52833, 851404, 2202350, 72456, 48441, 157865, 12, 25, NA, 3608903,  a*
141, 143.7, 36283, 2308, 807, 174266, 14899, 262033, 34902, 6330, 8, 9, NA, 531828,  a*
142, 144.7, 20255, 75128, 2593982, 972754, 285652, 286068, 103878, 1082900, 80, 73, NA, 5420617,  a*
143, 145.7, 62666, 3967, 265486, 30438, 219515, 5214, 136868, 76539, 92, 29, NA, 800693,  a*
144, 146.7, 234181, 29981, 559634, 1448, 231844, 7378, 268058, 135093, 60, 91, NA, 1467617,  a*
145, 147.7, 1395246, 109590, 341022, 69361, 4045, 8716, 576148, 20451, 29, 41, NA, 2524579,  a*
146, 148.7, 127821, 100820, 10834, 62123, 3113, 297013, 450278, 86919, 44, 14, NA, 1138921,  a*
147, 149.7, 208271, 2568, 42875, 1038559, 20870, 365, 102670, 120817, 25, 86, NA, 1536995,  a*
148, 150.8, 488288, 308922, 515572, 398721, 611689, 352218, 459214, 125194, 38, 18, NA, 3259818,  a*
149, 151.8, 496710, 1256, 122858, 31773, 36261, 24846, 1630583, 356179, 2, 54, NA, 2700466,  a*
150, 152.8, 125817, 212060, 1146186, 251224, 619353, 1023443, 162175, 1149457, 28, 1, NA, 4689715,  a*
151, 153.8, 334461, 4884, 169296, 5, 252272, 125075, 117824, 853167, 17, 26, NA, 1856984,  a*
152, 154.8, 422997, 189508, 150317, 546144, 304742, 171987, 9342, 1231, 78, 95, NA, 1796268,  a*
153, 155.8, 83607, 68813, 612368, 277866, 278, 69538, 46, 367477, 17, 7, NA, 1479993,  a*
154, 156.8, 580, 121838, 73608, 41162, 617856, 398309, 691428, 72586, 49, 55, NA, 2017367,  a*
